pLabel,p,equivclass,equivprop,sub,super
seat,http://www.wikidata.org/entity/Q2731419,,,http://pending.schema.org/seatingType,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/aggregateRating,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/areaServed,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/audience,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/availableChannel,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/award,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/brand,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/category,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/hasOfferCatalog,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/hoursAvailable,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/isRelatedTo,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/isSimilarTo,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/logo,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/offers,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/provider,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/providerMobility,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/review,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/serviceOutput,
service,http://www.wikidata.org/entity/Q7406919,,,http://pending.schema.org/serviceType,
sponsor,http://www.wikidata.org/entity/P859,,http://schema.org/sponsor,,
movie theater,http://www.wikidata.org/entity/Q41253,,http://schema.org/MovieTheater,,
composer,http://www.wikidata.org/entity/P86,,http://schema.org/musicBy,,
main subject,http://www.wikidata.org/entity/P921,,http://schema.org/about,,
original language of work,http://www.wikidata.org/entity/P364,,http://schema.org/inLanguage,,
language of work or name,http://www.wikidata.org/entity/P407,,http://schema.org/inLanguage,,
data set,http://www.wikidata.org/entity/Q1172284,http://schema.org/Dataset,,,
restaurant,http://www.wikidata.org/entity/Q11707,http://schema.org/Restaurant,,,
person,http://www.wikidata.org/entity/Q215627,http://schema.org/Person,,,
book,http://www.wikidata.org/entity/Q571,http://schema.org/Book,,,
organization,http://www.wikidata.org/entity/Q43229,http://schema.org/Organization,,,
film,http://www.wikidata.org/entity/Q11424,http://schema.org/Movie,,,
